gene_id,c15bee9b-18e0-433d-8216-32193639733c,a4c0b47f-515a-4578-a6d3-fbf447c5f107,6b4f8e00-03a3-4f9f-b1ef-435b0417d665,e2a7e12b-a940-4031-ad7f-a02cbb2a338f,b0a121e1-c084-43e0-89b6-0cf037d5aba1,7701440f-17b4-47da-a070-d11afd94e9ae,947d262c-5ccf-413a-868f-16ed7005a46b,0139ef5f-7adc-4e84-90c1-42ebf59aaf98
N_unmapped,1903552,2365941,2164009,1924750,2451401,1386066,1450260,2190178
N_multimapping,5553298,5771425,6765880,4925269,7117651,3607437,5095683,6088867
N_noFeature,3950229,2468129,2433951,2026710,2784941,2779419,3280265,3749166
N_ambiguous,5578188,6790668,6681215,4932405,8866679,4102953,5601483,5525123
ENSG00000000003.15,1239,7145,5478,1131,5366,1694,1609,2475
ENSG00000000005.6,2,1,0,0,3,0,0,1
ENSG00000000419.13,2279,3190,4807,1167,6000,1876,1875,1897
ENSG00000000457.14,493,702,746,543,861,620,757,1287
ENSG00000000460.17,425,673,797,352,922,540,412,1107
ENSG00000000938.13,1299,829,326,464,823,1322,307,945
ENSG00000000971.16,1220,5852,2165,3410,6391,1519,1316,4835
ENSG00000001036.14,1294,1062,1949,2895,2837,1107,1254,1351
ENSG00000001084.13,13541,3169,2548,30614,2275,6740,4360,2208
ENSG00000001167.14,1904,2227,3091,1850,2882,1222,1213,1802
ENSG00000001460.18,509,1079,800,348,1094,622,1234,900
ENSG00000001461.17,1096,2805,1670,739,2776,1222,2265,1247
ENSG00000001497.18,2813,1930,3645,1611,3376,2394,3284,3089
ENSG00000001561.7,263,791,1368,405,1781,433,294,902
ENSG00000001617.12,2253,1017,5304,4609,17825,5366,5799,6971
ENSG00000001626.16,343,886,25,109,469,33,5,113
ENSG00000001629.10,3021,4569,5017,1661,14139,3272,1612,4368
ENSG00000001630.17,167,94,109,21,977,95,46,54
ENSG00000001631.16,326,302,308,203,922,345,392,540
ENSG00000002016.18,589,692,442,982,452,678,451,722
ENSG00000002079.14,25,11,119,8,30,15,102,27
ENSG00000002330.14,372,1201,369,243,732,402,343,454
ENSG00000002549.12,2778,4447,5756,11352,10034,3230,2266,8977
ENSG00000002586.20,16143,21339,12641,12596,11682,12058,18458,5705
ENSG00000002586.20_PAR_Y,0,0,0,0,0,0,0,0
ENSG00000002587.10,324,625,1520,510,11417,230,832,1378
ENSG00000002726.21,41,49,208,1940,110,57,25,160
ENSG00000002745.13,37,2337,9,8,93,19,10,13
ENSG00000002746.15,80,130,118,24,130,10,54,96
ENSG00000002822.15,414,12,137,25,31,19,83,109
ENSG00000002834.18,9470,8990,15859,14326,14644,7483,5076,11712
ENSG00000002919.15,1541,2560,2414,964,2083,1465,697,1433
ENSG00000002933.9,1205,2155,829,9660,2294,1211,254,2402
ENSG00000003056.8,4449,5447,4522,3544,6350,5343,2405,3213
ENSG00000003096.14,396,1191,139,17,1783,1507,436,829
ENSG00000003137.8,436,448,538,120,389,1115,1881,521
ENSG00000003147.19,233,897,522,2426,3725,296,34,1890
ENSG00000003249.15,147,371,883,908,3226,476,1286,68
ENSG00000003393.15,1818,1708,1438,639,3915,1386,1099,1637
ENSG00000003400.15,594,1767,1166,911,5214,490,388,1461
ENSG00000003402.20,4979,4438,4227,4731,5583,3513,5285,11094
ENSG00000003436.16,1938,4316,764,10996,4166,824,316,1246
ENSG00000003509.16,720,1261,976,337,1046,529,466,558
ENSG00000003756.17,3297,1079,2479,2420,2185,2801,1595,3292
ENSG00000003987.14,57,91,24,51,91,58,139,63
ENSG00000003989.18,622,730,93,3985,873,1935,1070,1885
ENSG00000004059.11,5249,6068,4591,3754,12804,5139,8131,7506
ENSG00000004139.14,116,149,46,147,432,280,46,142
ENSG00000004142.12,6229,4510,14030,4463,11877,5508,3942,5080
ENSG00000004399.13,4734,11023,12012,3924,9198,4767,4185,6587
ENSG00000004455.17,4637,7853,11056,4428,9010,3010,8849,6674
ENSG00000004468.13,1113,675,285,1886,576,802,34,1817
ENSG00000004478.8,6261,6946,8595,15058,10978,9710,8964,5617
ENSG00000004487.17,4728,7182,6137,3425,9182,3182,6738,3513
ENSG00000004534.15,4131,3847,3021,4866,2509,3319,3128,3229
ENSG00000004660.15,1831,720,526,185,1229,492,1416,1130
ENSG00000004700.16,1477,1523,1757,2390,1701,1451,899,1682
ENSG00000004766.17,973,1327,1241,550,4337,787,974,1663
ENSG00000004776.13,28,83,18,26,365,36,11,47
ENSG00000004777.18,503,186,391,715,248,900,3048,677
ENSG00000004779.10,1639,4166,2569,1973,3473,1812,4203,2851
ENSG00000004799.8,769,1162,164,245,1803,208,49,2205
ENSG00000004809.14,10,5,2,0,58,4,1,101
ENSG00000004838.14,60,28,17,229,795,24,34,1176
ENSG00000004846.16,7,234,0,2,29,1,0,6
ENSG00000004848.8,2,17,0,32,18,2,11,51
ENSG00000004864.14,1227,1182,2148,1462,6267,1401,697,2772
ENSG00000004866.22,955,2106,1304,901,2766,752,1580,1444
ENSG00000004897.12,3760,3162,8431,1763,3863,2992,1483,3451
ENSG00000004939.15,4,15,0,1,3,1,6,1
ENSG00000004948.16,8,13,5,2,101,3,3,13
ENSG00000004961.15,1422,1566,1857,721,2324,927,1798,1140
ENSG00000004975.12,1753,1974,1992,872,5858,2168,1599,1936
ENSG00000005001.10,2104,1344,3352,1979,3854,274,805,506
ENSG00000005007.13,8370,6935,7449,4285,43430,8573,13425,11545
ENSG00000005020.13,1370,3736,7672,2512,3967,2069,1352,2332
ENSG00000005022.6,24319,16850,37717,9905,20675,10023,13451,8614
ENSG00000005059.16,696,1893,3129,711,1961,901,1887,698
ENSG00000005073.6,18,132,5,11,565,21,12,3
ENSG00000005075.15,1586,2098,2030,1290,5328,1499,2578,2879
ENSG00000005100.13,3810,1106,2719,537,3074,1035,967,1578
ENSG00000005102.14,31,102,78,57,175,258,98,316
ENSG00000005108.16,76,199,22,166,158,101,44,112
ENSG00000005156.12,2081,1530,3128,1171,3712,1645,1132,2060
ENSG00000005175.10,1934,2121,1937,1388,2020,1407,1361,1675
ENSG00000005187.12,124,477,141,247,235,112,45,79
ENSG00000005189.20,133,188,344,288,251,264,415,417
ENSG00000005194.15,2261,2221,2268,1888,5318,1701,2374,1812
ENSG00000005206.17,2275,1175,1204,2459,1964,2870,2038,5959
ENSG00000005238.20,1931,1269,2159,1132,1250,1011,1958,899
ENSG00000005243.10,1404,1349,2005,320,974,2354,1113,192
